Year,< High School - Number in 1000s,< High School - Lower Limit,< High School - Upper Limit,High School - Number in 1000s,High School - Lower Limit,High School - Upper Limit,> High School - Number in 1000s,> High School - Lower Limit,> High School - Upper Limit
2000,3765,3412,4118,3688,3354,4022,4349,3983,4716
2001,3920,3547,4293,4329,3922,4737,4614,4265,4963
2002,3708,3355,4060,4386,3984,4789,5062,4636,5487
2003,3678,3308,4048,4064,3686,4443,6027,5559,6495
2004,3945,3584,4306,4797,4383,5210,6213,5715,6711
2005,3991,3629,4353,5093,4653,5533,6942,6426,7457
2006,4206,3784,4628,5567,4936,6198,7171,6530,7813
2007,4466,4016,4917,5562,4978,6145,7043,6305,7781
2008,4583,4043,5124,6179,5547,6810,7745,7107,8382
2009,4847,4304,5389,6579,5943,7215,8924,8159,9689
2010,4860,4416,5304,6156,5636,6676,9840,9097,10583
2011,4880,4457,5302,6109,5576,6642,9453,8907,9999
2012,4557,4156,4959,6612,6065,7159,10051,9415,10687
2013,4587,4160,5014,6586,6033,7140,10902,10238,11565
2014,4788,4336,5239,6745,6242,7248,10119,9455,10783
2015,4578,4101,5055,6858,6257,7460,11605,10849,12361
2016,4665,4136,5193,6611,6001,7222,11698,10888,12507
2017,4485,3934,5036,6317,5738,6896,12105,11211,12998
2018,4622,4094,5150,7083,6461,7705,13216,12362,14069
2019,5190,4594,5787,6788,6254,7323,11214,10480,11948
