Year,Male - Number in 1000s,Male - Lower Limit,Male - Upper Limit,Female - Number in 1000s,Female - Lower Limit,Female - Upper Limit
2000,5907,5441,6373,5956,5521,6391
2001,6425,5914,6935,6581,6156,7007
2002,6826,6291,7361,6565,6094,7035
2003,6990,6456,7525,7022,6526,7517
2004,7541,7027,8056,7585,7067,8103
2005,7896,7359,8433,8290,7754,8826
2006,8204,7511,8896,8906,8233,9579
2007,8391,7657,9125,8882,8170,9594
2008,8934,8159,9709,9717,8978,10456
2009,10447,9629,11265,10043,9310,10776
2010,10804,10072,11536,10170,9477,10863
2011,10342,9713,10972,10247,9634,10859
2012,10357,9767,10948,10961,10291,11632
2013,11124,10460,11789,11048,10417,11680
2014,10907,10200,11615,10965,10306,11623
2015,11538,10764,12312,11623,10904,12342
2016,11499,10638,12359,11605,10726,12483
2017,12242,11388,13096,10807,9996,11617
2018,12760,11942,13579,12397,11605,13190
2019,11440,10690,12190,11979,11187,12771
