Year,County,State,Physical Inactivity Percentage,Obesity Percentage,Newly Diagnosed Diabetes Rate per 1000,Diagnosed Diabetes Percentage
2018,Autauga County,Alabama,23.8,29.6,9.1,9.5
2018,Baldwin County,Alabama,22.0,28.3,6.5,8.4
2018,Barbour County,Alabama,23.2,29.3,11.5,13.5
2018,Bibb County,Alabama,23.0,23.1,13.3,10.2
2018,Blount County,Alabama,24.7,27.8,12.9,10.5
2018,Bullock County,Alabama,17.0,18.7,19.8,9.4
2018,Butler County,Alabama,28.8,30.8,14.0,10.9
2018,Calhoun County,Alabama,27.9,39.2,14.4,12.9
2018,Chambers County,Alabama,24.3,31.2,17.1,12.0
2018,Cherokee County,Alabama,25.1,32.4,11.5,10.5
2018,Chilton County,Alabama,30.0,38.6,16.3,14.4
2018,Choctaw County,Alabama,26.1,38.4,13.9,11.0
2018,Clarke County,Alabama,28.8,31.0,13.2,14.3
2018,Clay County,Alabama,20.1,24.3,8.5,8.6
2018,Cleburne County,Alabama,19.3,26.5,7.3,8.3
2018,Coffee County,Alabama,29.3,33.3,13.4,13.8
2018,Colbert County,Alabama,29.7,31.6,12.7,12.3
2018,Conecuh County,Alabama,31.6,27.2,21.4,11.2
2018,Coosa County,Alabama,16.8,23.8,11.8,9.5
2018,Covington County,Alabama,31.1,34.2,17.4,11.9
2018,Crenshaw County,Alabama,21.6,27.1,11.3,10.7
2018,Cullman County,Alabama,27.6,31.1,11.0,11.0
2018,Dale County,Alabama,28.7,38.8,12.2,11.7
2018,Dallas County,Alabama,34.0,39.4,16.9,13.9
2018,Dekalb County,Alabama,26.8,28.5,12.1,11.1
2018,Elmore County,Alabama,23.6,32.5,14.9,12.1
2018,Escambia County,Alabama,28.2,30.8,17.4,13.5
2018,Etowah County,Alabama,29.6,33.9,14.7,13.8
2018,Fayette County,Alabama,22.5,25.5,16.0,9.4
2018,Franklin County,Alabama,27.4,30.1,14.5,9.5
2018,Geneva County,Alabama,29.6,36.5,11.0,11.2
2018,Greene County,Alabama,16.8,24.4,27.7,12.1
2018,Hale County,Alabama,25.7,34.8,15.5,10.4
2018,Henry County,Alabama,20.3,24.3,15.1,9.8
2018,Houston County,Alabama,31.1,35.8,12.7,14.2
2018,Jackson County,Alabama,31.0,30.0,15.7,10.5
2018,Jefferson County,Alabama,27.4,34.0,10.5,11.2
2018,Lamar County,Alabama,20.5,27.6,18.5,11.8
2018,Lauderdale County,Alabama,23.8,30.4,8.1,9.9
2018,Lawrence County,Alabama,20.1,21.0,11.6,9.1
2018,Lee County,Alabama,21.5,28.8,10.5,9.9
2018,Limestone County,Alabama,23.5,25.4,11.4,11.3
2018,Lowndes County,Alabama,23.3,31.9,12.7,11.8
2018,Macon County,Alabama,25.9,32.2,14.5,11.2
2018,Madison County,Alabama,24.2,32.1,9.9,10.7
2018,Marengo County,Alabama,27.3,41.3,13.7,12.8
2018,Marion County,Alabama,23.7,30.2,13.0,9.7
2018,Marshall County,Alabama,27.4,34.0,13.1,9.8
2018,Mobile County,Alabama,27.5,36.8,10.7,11.9
2018,Monroe County,Alabama,29.2,32.2,13.0,11.6
2018,Montgomery County,Alabama,27.8,35.2,14.1,14.2
2018,Morgan County,Alabama,20.7,32.1,8.2,9.4
2018,Perry County,Alabama,27.3,32.5,13.7,13.4
2018,Pickens County,Alabama,20.7,27.0,10.3,10.9
2018,Pike County,Alabama,25.6,33.8,15.5,10.3
2018,Randolph County,Alabama,22.5,24.0,11.4,11.0
2018,Russell County,Alabama,24.1,23.7,17.4,10.0
2018,Shelby County,Alabama,22.2,34.2,8.2,8.8
2018,St. Clair County,Alabama,27.3,34.9,13.1,10.6
2018,Sumter County,Alabama,25.1,32.4,14.8,11.7
2018,Talladega County,Alabama,35.0,36.3,13.1,14.2
2018,Tallapoosa County,Alabama,24.7,29.2,12.7,10.6
2018,Tuscaloosa County,Alabama,26.4,35.3,10.6,11.8
2018,Walker County,Alabama,28.8,36.6,11.5,11.2
2018,Washington County,Alabama,24.3,23.9,13.6,11.2
2018,Wilcox County,Alabama,24.9,33.2,15.2,11.2
2018,Winston County,Alabama,20.2,26.4,10.3,10.2
2018,Aleutians East Borough,Alaska,19.2,24.2,14.4,9.3
2018,Aleutians West Census Area,Alaska,22.0,29.1,9.1,7.9
2018,Anchorage Municipality,Alaska,17.1,28.7,7.8,8.8
2018,Bethel Census Area,Alaska,22.2,30.2,8.7,8.0
2018,Bristol Bay Borough,Alaska,20.1,21.3,13.5,9.1
2018,Denali Borough,Alaska,16.2,18.9,5.0,6.8
2018,Dillingham Census Area,Alaska,20.1,24.7,9.3,8.2
2018,Fairbanks North Star Borough,Alaska,18.6,30.1,7.8,7.9
2018,Haines Borough,Alaska,15.8,20.3,7.4,7.3
2018,Hoonah-Angoon Census Area,Alaska,15.0,19.4,9.2,7.3
2018,Juneau City and Borough,Alaska,15.5,24.0,6.1,6.3
2018,Kenai Peninsula Borough,Alaska,19.4,31.8,9.1,8.2
2018,Ketchikan Gateway Borough,Alaska,19.0,37.2,8.5,8.8
2018,Kodiak Island Borough,Alaska,21.2,25.5,8.6,7.0
2018,Kusilvak Census Area,Alaska,19.1,22.0,9.6,7.4
